Coalition/Party,parlimen,percentage_votes
Pakatan Harapan (PH),P.072 Tapah,29.98
Pakatan Harapan (PH),P.073 Pasir Salak,20.51
Pakatan Harapan (PH),P.074 Lumut,28.61
Pakatan Harapan (PH),P.075 Bagan Datuk,38.78
Pakatan Harapan (PH),P.076 Teluk Intan,51.61
Pakatan Harapan (PH),P.077 Tanjong Malim,36.08
Pakatan Harapan (PH),P.078 Cameron Highlands,34.8
Pakatan Harapan (PH),P.079 Lipis,17.75
Pakatan Harapan (PH),P.080 Raub,38.43
Pakatan Harapan (PH),P.081 Jerantut,17.14
Pakatan Harapan (PH),P.082 Indera Mahkota,35.65
Pakatan Harapan (PH),P.083 Kuantan,33.42
Pakatan Harapan (PH),P.084 Paya Besar,14.83
Pakatan Harapan (PH),P.085 Pekan,6.79
Pakatan Harapan (PH),P.086 Maran,8.63
Pakatan Harapan (PH),P.087 Kuala Krau,7.52
Pakatan Harapan (PH),P.088 Temerloh,30.75
Pakatan Harapan (PH),P.089 Bentong,37.62
Pakatan Harapan (PH),P.090 Bera,25.3
Pakatan Harapan (PH),P.091 Rompin,7.14
Pakatan Harapan (PH),P.092 Sabak Bernam,23.49
Pakatan Harapan (PH),P.093 Sungai Besar,33.42
Pakatan Harapan (PH),P.094 Hulu Selangor,36.97
Pakatan Harapan (PH),P.096 Kuala Selangor,35.88
Pakatan Harapan (PH),P.097 Selayang,50.23
Pakatan Harapan (PH),P.098 Gombak,43.69
Pakatan Harapan (PH),P.099 Ampang,54.35
Pakatan Harapan (PH),P.100 Pandan,63.98
Pakatan Harapan (PH),P.101 Hulu Langat,42.68
Pakatan Harapan (PH),P.102 Bangi,57.95
Pakatan Harapan (PH),P.103 Puchong,65.67
Pakatan Harapan (PH),P.104 Subang,77.68
Pakatan Harapan (PH),P.105 Petaling Jaya,57.12
Pakatan Harapan (PH),P.106 Damansara,81.67
Pakatan Harapan (PH),P.107 Sungai Buloh,39.3
Pakatan Harapan (PH),P.108 Shah Alam,45.23
Pakatan Harapan (PH),P.109 Kapar,34.15
Pakatan Harapan (PH),P.110 Klang,70.49
